suhu,kelembapan,cahaya,hujan,label_cuaca
24.66,94.52,173.66,0.35,hujan
24.31,56.1,339.06,0.45,berawan
23.24,65.95,1468.17,0.27,cerah
20.51,78.26,227.38,0.85,hujan
25.88,82.82,1363.77,0.56,berawan
24.08,71.45,717.57,0.21,cerah
34.76,43.1,1018.21,0.03,cerah
31.12,56.27,1337.41,0.44,berawan
23.87,77.52,334.53,0.89,hujan
29.81,70.48,953.6,0.69,hujan
23.48,74.96,1292.45,0.43,berawan
25.8,57.43,593.86,0.58,berawan
20.91,55.35,1652.76,0.63,hujan
29.82,64.26,972.36,0.07,cerah
25.27,66.48,1442.91,0.85,hujan
20.93,96.6,1904.74,0.14,hujan
32.07,98.61,280.17,0.28,berawan
32.01,87.92,550.67,0.72,hujan
30.98,96.09,1324.14,0.51,berawan
21.82,41.34,873.83,0.39,berawan
25.07,73.54,600.83,0.6,hujan
33.3,63.6,1657.23,0.48,berawan
32.92,58.07,1237.32,0.5,berawan
33.0,41.51,1145.13,1.0,hujan
25.48,73.97,102.23,0.6,hujan
21.77,91.38,1115.66,0.22,hujan
34.89,85.71,1291.1,0.04,cerah
26.33,44.46,1135.13,0.52,berawan
23.85,55.96,611.75,0.85,hujan
33.06,48.65,879.67,0.61,hujan
28.95,70.11,360.61,0.0,cerah
25.39,48.52,919.58,0.45,berawan
31.59,74.82,1155.19,0.15,cerah
32.8,42.19,1201.68,0.11,cerah
31.16,76.82,1238.09,0.09,cerah
23.12,71.99,1804.22,0.26,cerah
28.95,91.12,505.09,0.99,hujan
34.79,55.03,1818.2,0.49,berawan
29.14,61.62,1310.47,0.14,cerah
26.59,63.33,852.93,0.82,hujan
22.25,50.34,375.99,0.72,hujan
23.0,82.91,554.18,0.61,hujan
23.58,79.6,1110.86,0.8,hujan
33.88,62.23,443.41,0.91,hujan
23.14,82.24,948.48,0.36,berawan
29.21,61.48,1072.7,0.53,berawan
32.24,74.94,422.14,0.59,berawan
27.81,75.72,478.96,0.27,cerah
29.57,47.1,1893.89,0.22,cerah
26.44,77.86,864.02,0.08,cerah
28.9,84.6,657.75,0.15,cerah
29.66,84.32,1815.17,0.41,berawan
23.64,75.86,1751.76,0.35,berawan
31.53,87.5,1202.91,0.36,berawan
26.11,41.75,192.89,0.5,berawan
34.72,69.37,59.15,0.67,hujan
20.0,46.97,166.29,0.83,hujan
21.03,96.84,1547.61,0.41,hujan
30.84,56.81,1286.75,0.07,cerah
27.76,78.42,1875.2,0.29,cerah
30.7,93.58,839.91,0.93,hujan
34.89,89.74,514.42,0.12,cerah
24.58,40.61,271.09,0.29,cerah
27.29,99.76,620.14,0.17,cerah
30.56,45.41,263.54,0.82,hujan
22.58,75.75,589.4,0.93,hujan
29.25,67.77,1401.45,0.46,berawan
21.89,47.16,1082.28,0.9,hujan
22.26,94.34,747.91,0.92,hujan
21.06,83.38,209.44,0.5,berawan
30.34,77.66,1936.25,0.02,cerah
24.28,42.76,931.13,0.06,cerah
22.0,91.67,1142.29,0.42,hujan
26.25,46.56,1039.04,0.56,berawan
26.19,89.02,484.91,0.22,cerah
20.12,44.72,905.33,0.54,berawan
34.68,90.11,289.46,0.36,berawan
23.25,80.05,1375.17,0.36,berawan
33.44,95.03,1007.01,0.98,hujan
21.2,71.8,664.92,0.47,berawan
31.61,63.84,125.83,0.65,hujan
33.01,76.12,1155.91,0.55,berawan
34.92,70.12,862.24,0.73,hujan
28.8,92.7,1038.47,0.9,hujan
21.12,70.94,1576.7,0.26,cerah
21.24,85.87,1089.62,0.36,hujan
22.81,96.48,1864.15,0.59,hujan
20.31,59.18,1182.2,0.97,hujan
29.41,86.87,1880.16,0.07,cerah
33.01,67.88,1447.38,0.02,cerah
24.4,55.25,465.74,0.24,cerah
34.18,84.16,1421.49,0.54,berawan
34.92,89.67,929.49,0.13,cerah
29.73,74.94,547.87,0.19,cerah
24.94,54.85,1177.1,0.66,hujan
26.67,57.77,1315.38,0.7,hujan
27.68,89.46,684.71,0.7,hujan
31.79,98.12,1104.28,0.4,berawan
27.3,74.72,784.25,0.67,hujan
32.23,97.37,1632.78,0.4,berawan
31.48,46.69,58.68,0.91,hujan
33.49,53.46,1322.16,0.56,berawan
31.18,70.48,164.77,0.56,berawan
28.87,59.18,1427.98,0.68,hujan
23.34,46.14,1714.96,0.96,hujan
25.72,53.0,536.27,0.67,hujan
23.77,79.64,249.65,0.35,berawan
30.59,98.33,235.02,0.25,berawan
25.14,88.73,1435.5,0.41,berawan
28.33,63.73,250.99,0.63,hujan
22.77,81.19,1989.62,0.89,hujan
31.1,49.03,233.18,0.77,hujan
33.07,58.19,795.57,0.06,cerah
28.28,90.34,1522.96,0.88,hujan
28.75,50.27,1515.13,1.0,hujan
33.63,91.76,398.93,0.33,berawan
27.14,83.63,970.32,0.06,cerah
32.43,64.13,172.82,0.1,cerah
34.84,99.77,533.04,0.71,hujan
28.42,56.08,100.23,0.61,hujan
23.75,79.35,236.7,0.1,berawan
22.29,73.29,865.13,0.97,hujan
28.38,57.57,1162.07,0.62,hujan
20.32,62.49,1283.35,0.74,hujan
30.36,55.05,1831.69,0.81,hujan
27.52,58.12,1111.32,0.57,berawan
26.85,41.84,1453.15,0.99,hujan
32.63,98.58,1518.69,0.32,berawan
33.67,65.16,965.09,0.62,hujan
24.08,50.17,1555.06,0.1,cerah
33.29,98.78,1994.99,0.96,hujan
31.28,56.73,672.97,0.4,berawan
23.06,97.52,400.01,0.25,hujan
21.51,91.21,637.88,0.36,hujan
25.21,96.37,728.83,0.44,berawan
32.23,96.76,1661.9,0.26,cerah
21.36,96.92,1306.68,0.77,hujan
21.48,69.59,947.68,0.27,cerah
32.5,96.81,1884.64,0.84,hujan
34.34,61.19,1905.89,0.29,cerah
27.4,89.76,652.64,0.05,cerah
30.35,99.52,941.01,0.28,cerah
34.54,84.97,176.79,0.27,berawan
26.49,92.0,1193.35,0.43,berawan
28.29,89.03,432.25,0.63,hujan
28.57,97.85,717.55,0.45,berawan
30.03,50.92,365.14,0.62,hujan
30.4,60.85,530.88,0.81,hujan
23.3,83.47,611.56,0.03,cerah
20.83,51.37,1580.92,0.15,cerah
27.4,81.89,1926.01,0.72,hujan
31.5,84.78,653.76,0.24,cerah
33.98,74.31,1046.02,0.04,cerah
29.94,78.95,520.15,0.91,hujan
24.52,40.56,1895.53,0.47,berawan
31.27,49.85,953.63,0.37,berawan
29.51,80.15,607.03,0.12,cerah
30.59,72.05,465.44,0.1,cerah
34.36,99.48,478.35,0.47,berawan
26.94,42.63,1953.59,0.31,berawan
23.82,92.54,1501.77,0.9,hujan
30.13,75.6,643.83,1.0,hujan
23.65,45.74,1428.03,0.1,cerah
21.61,51.78,77.76,0.84,hujan
34.78,88.56,424.9,0.86,hujan
20.64,74.16,675.04,0.82,hujan
32.03,73.3,620.24,0.74,hujan
27.52,55.5,926.27,0.04,cerah
28.39,75.17,517.28,0.42,berawan
23.73,72.33,1176.86,0.94,hujan
33.38,64.93,1682.08,0.97,hujan
34.34,69.11,977.01,0.4,berawan
23.8,97.0,1730.65,0.92,hujan
20.85,66.68,114.41,0.24,cerah
33.9,64.39,818.97,0.31,berawan
33.04,50.35,284.27,0.91,hujan
29.02,63.09,548.15,0.03,cerah
25.12,58.98,1512.42,0.95,hujan
31.78,55.6,906.53,0.47,berawan
27.35,48.66,1425.97,0.76,hujan
29.93,74.35,115.03,0.01,berawan
31.99,72.81,1876.08,0.31,berawan
22.76,59.81,1847.0,0.18,cerah
22.64,85.45,1815.44,0.34,hujan
32.66,98.45,811.76,0.28,cerah
28.72,55.71,481.11,0.09,cerah
31.58,62.06,1222.22,0.47,berawan
28.52,65.42,822.49,0.41,berawan
34.53,54.29,1227.78,0.48,berawan
34.16,48.52,325.49,0.97,hujan
24.16,45.99,772.28,0.83,hujan
34.07,86.73,702.79,0.33,berawan
20.2,64.68,1980.0,0.2,cerah
33.19,95.32,904.25,0.43,berawan
29.52,85.83,655.79,0.7,hujan
20.74,47.02,1067.6,0.2,cerah
20.52,76.16,1468.27,0.0,cerah
33.27,97.99,1115.84,0.11,cerah
21.53,57.08,660.89,0.7,hujan
33.56,53.69,1549.2,0.56,berawan
25.76,41.64,1485.97,0.43,berawan
25.91,40.58,1270.51,0.86,hujan
27.45,84.97,78.9,0.09,berawan
28.52,98.46,85.9,0.85,hujan
34.65,67.85,1010.56,0.38,berawan
26.36,69.68,1372.62,0.12,cerah
26.17,60.73,948.34,0.13,cerah
33.99,97.55,1261.65,0.15,cerah
30.26,44.16,955.34,0.28,cerah
22.56,44.17,957.92,0.8,hujan
28.84,50.71,231.62,0.41,berawan
31.38,68.48,992.94,0.1,cerah
24.9,52.67,615.22,0.87,hujan
27.59,81.16,1368.07,0.18,cerah
23.57,75.12,301.53,0.43,berawan
34.69,95.91,1349.93,0.18,cerah
31.8,76.72,832.98,0.17,cerah
34.32,61.23,1300.55,0.35,berawan
23.71,66.23,1082.65,0.91,hujan
23.29,49.87,523.26,0.69,hujan
23.0,93.17,712.41,0.72,hujan
26.5,53.04,1922.63,0.76,hujan
25.65,44.33,368.71,0.71,hujan
25.7,55.58,271.39,0.51,berawan
34.47,69.14,1744.49,0.56,berawan
20.21,92.03,397.8,0.79,hujan
30.15,63.47,342.08,0.82,hujan
29.66,81.7,711.85,0.23,cerah
33.23,88.51,1249.29,0.79,hujan
28.65,60.55,826.85,0.5,berawan
22.02,80.95,1367.86,0.81,hujan
30.31,70.71,1800.96,0.69,hujan
25.72,76.67,1570.25,0.67,hujan
31.33,90.3,1951.48,0.82,hujan
26.51,95.71,1910.8,0.38,berawan
27.62,60.27,1611.84,0.25,cerah
28.56,99.16,1401.11,0.14,cerah
23.66,95.62,1719.47,0.35,hujan
32.28,88.44,1089.78,0.76,hujan
20.18,82.26,1985.15,0.66,hujan
22.59,73.3,1564.95,0.69,hujan
28.46,48.52,504.71,0.35,berawan
29.06,67.47,1447.54,0.15,cerah
27.33,61.71,913.7,0.83,hujan
26.46,84.55,1005.72,0.49,berawan
24.81,82.05,1391.13,0.03,cerah
34.19,52.17,541.4,0.59,berawan
24.61,80.38,647.49,0.86,hujan
27.28,83.86,1940.9,0.11,cerah
31.01,74.28,446.03,0.13,cerah
33.94,72.24,1278.61,0.97,hujan
28.81,47.39,1148.13,0.36,berawan
28.83,40.73,1859.49,0.59,berawan
29.87,57.24,1327.8,0.6,berawan
33.78,73.19,461.44,0.05,cerah
24.55,85.51,1051.53,0.81,hujan
27.85,44.13,1450.69,0.91,hujan
26.72,74.03,1165.7,0.61,hujan
26.43,75.75,918.21,0.72,hujan
26.54,96.6,724.31,0.42,berawan
30.35,47.71,1711.45,0.04,cerah
26.18,69.53,250.64,0.78,hujan
20.9,49.35,713.65,0.82,hujan
27.82,99.3,381.77,0.5,berawan
22.12,56.67,335.17,0.86,hujan
23.12,42.99,1479.27,0.03,cerah
22.31,57.06,77.77,0.62,hujan
32.82,59.82,1949.39,0.44,berawan
25.8,54.89,1526.94,0.64,hujan
26.81,45.88,876.03,0.14,cerah
20.11,96.2,302.37,0.83,hujan
27.98,94.13,1937.13,0.19,cerah
34.27,60.3,1010.32,0.41,berawan
24.04,99.47,823.14,0.8,hujan
29.92,50.49,1889.36,0.44,berawan
22.89,62.4,180.46,0.21,cerah
26.41,41.95,1849.67,0.66,hujan
32.53,96.71,1124.77,0.75,hujan
21.98,59.96,313.65,0.75,hujan
27.02,49.17,1097.52,0.14,cerah
30.3,70.24,1070.39,0.52,berawan
34.65,99.8,1497.12,0.63,hujan
29.54,69.69,105.87,0.08,cerah
28.71,47.81,1304.76,0.8,hujan
34.05,65.98,1249.22,0.96,hujan
27.58,91.63,200.87,0.66,hujan
32.99,84.45,113.62,0.08,berawan
27.62,91.6,523.15,0.55,berawan
24.19,79.7,925.36,0.98,hujan
32.2,41.56,892.15,0.15,cerah
25.57,79.67,895.04,0.61,hujan
27.63,79.74,930.59,0.05,cerah
20.07,69.33,141.11,0.6,berawan
21.27,79.59,1584.35,0.69,hujan
29.32,93.02,69.11,0.68,hujan
20.46,69.92,440.7,0.86,hujan
23.21,52.85,1784.76,0.24,cerah
25.04,62.15,711.52,0.32,berawan
20.08,99.69,880.94,0.06,hujan
24.24,87.46,1564.81,0.19,hujan
29.9,40.69,99.64,0.12,cerah
30.65,70.38,1688.52,0.42,berawan
33.18,40.33,1819.79,0.44,berawan
34.51,50.72,809.33,0.08,cerah
32.11,82.4,1422.2,0.5,berawan
28.79,75.82,1863.35,0.06,cerah
26.4,52.48,1197.62,0.74,hujan
28.97,49.42,359.9,0.39,berawan
32.11,88.03,1250.26,0.38,berawan
21.56,55.56,1803.03,0.72,hujan
26.42,94.11,480.77,0.43,berawan
25.88,83.85,1357.28,0.33,berawan
20.41,96.45,663.66,0.7,hujan
34.36,95.87,1648.49,0.88,hujan
25.24,84.67,101.55,0.61,hujan
34.15,50.61,1909.51,0.62,hujan
23.63,57.41,1324.21,0.07,cerah
33.43,80.59,1725.58,0.15,cerah
28.06,44.31,1329.65,0.94,hujan
25.69,94.38,675.43,0.56,berawan
30.6,61.73,508.88,0.13,cerah
23.18,48.07,74.83,0.49,berawan
21.49,49.08,397.18,0.03,cerah
27.79,41.83,1116.36,0.24,cerah
26.93,83.35,1923.06,0.54,berawan
23.08,94.79,1785.94,0.09,hujan
29.0,42.31,1273.18,0.38,berawan
34.64,75.7,1917.63,0.46,berawan
26.46,98.64,1713.8,0.58,berawan
20.66,48.96,1862.34,0.25,cerah
31.04,75.48,822.95,0.72,hujan
21.48,69.2,1246.78,0.56,berawan
32.83,71.19,1552.34,0.72,hujan
26.54,50.23,589.11,0.62,hujan
25.58,87.05,1349.06,0.25,cerah
24.29,45.47,1502.85,0.28,cerah
22.81,75.63,1181.32,0.5,berawan
22.55,73.01,449.77,0.31,berawan
22.26,68.14,1652.18,0.09,cerah
24.44,55.97,694.26,0.18,cerah
30.13,74.57,1514.16,0.65,hujan
32.08,52.14,1639.6,0.78,hujan
27.87,58.77,229.32,0.42,berawan
23.37,61.45,1630.1,0.13,cerah
30.21,71.25,1562.7,0.03,cerah
24.45,60.38,1048.66,0.82,hujan
21.92,93.85,499.91,0.71,hujan
28.06,75.22,491.73,0.8,hujan
30.94,59.05,109.94,0.75,hujan
22.17,99.37,1634.61,0.94,hujan
27.08,79.84,510.25,0.81,hujan
20.36,45.35,454.63,0.04,cerah
28.38,70.69,1176.05,0.06,cerah
24.34,78.23,1929.72,0.58,berawan
33.23,59.83,802.02,0.69,hujan
22.47,98.19,365.35,0.18,hujan
25.29,66.77,627.86,0.57,berawan
24.45,96.86,504.74,0.47,hujan
27.56,70.62,243.4,0.85,hujan
27.73,81.9,1296.81,0.47,berawan
20.59,75.8,187.69,0.18,berawan
28.88,45.79,290.12,0.15,cerah
29.08,72.7,794.86,0.32,berawan
31.92,52.0,343.33,0.96,hujan
30.13,88.12,601.02,1.0,hujan
26.39,71.58,784.59,0.37,berawan
20.75,62.4,952.53,0.56,berawan
32.24,80.25,1039.13,0.17,cerah
33.99,53.92,292.58,0.7,hujan
33.87,77.29,1407.1,0.18,cerah
32.67,56.19,950.25,0.87,hujan
27.07,76.36,1785.71,0.51,berawan
26.35,50.21,1793.32,0.93,hujan
34.34,49.17,514.76,0.77,hujan
30.15,86.54,1674.12,0.73,hujan
20.73,54.77,1330.62,0.66,hujan
28.87,98.09,1721.6,0.16,cerah
23.08,76.36,427.59,0.92,hujan
24.28,68.54,1987.11,0.31,berawan
24.16,74.66,1451.71,0.67,hujan
34.32,83.11,478.62,0.08,cerah
24.93,81.6,414.07,0.99,hujan
29.39,48.81,1401.89,0.5,berawan
32.14,59.5,1487.05,0.29,cerah
21.45,90.57,1825.82,0.36,hujan
34.75,45.11,700.38,0.03,cerah
20.56,82.13,585.14,0.78,hujan
25.19,64.9,1909.65,0.03,cerah
28.86,48.3,726.2,0.78,hujan
26.39,88.68,982.17,0.96,hujan
29.33,88.78,1881.56,0.62,hujan
22.08,69.36,1176.69,0.67,hujan
33.89,71.97,1689.48,0.33,berawan
28.68,40.8,1245.04,0.93,hujan
26.0,44.73,525.2,0.53,berawan
31.29,61.08,812.54,0.36,berawan
22.88,57.24,952.73,0.08,cerah
23.05,99.19,1815.66,0.77,hujan
25.31,89.49,317.85,0.93,hujan
22.67,63.63,784.67,0.48,berawan
32.04,46.01,1212.12,0.78,hujan
28.32,43.79,1929.05,0.49,berawan
34.54,63.83,1131.86,0.47,berawan
24.12,81.22,188.96,0.45,berawan
29.35,70.85,1284.3,0.78,hujan
22.22,57.5,1965.93,0.1,cerah
30.66,65.17,1642.43,0.14,cerah
21.7,82.2,1436.34,0.77,hujan
22.37,80.64,986.34,0.22,cerah
26.84,53.69,530.95,0.79,hujan
21.55,58.17,1016.62,0.72,hujan
29.64,68.82,867.08,0.36,berawan
27.76,55.8,1216.84,0.99,hujan
28.65,71.17,439.32,0.03,cerah
20.04,50.26,147.49,0.92,hujan
32.28,62.65,497.64,0.27,cerah
21.18,99.17,627.09,0.92,hujan
22.53,83.09,1691.84,0.37,berawan
31.25,66.18,439.81,1.0,hujan
23.82,81.81,1132.3,0.35,berawan
25.87,72.97,797.68,0.97,hujan
29.08,84.18,917.01,0.73,hujan
28.1,63.14,845.68,0.13,cerah
30.02,55.37,1489.75,0.76,hujan
32.91,91.29,686.78,0.78,hujan
28.92,97.97,522.73,0.82,hujan
26.79,70.22,1443.94,0.38,berawan
27.27,42.33,806.57,0.38,berawan
30.95,46.2,790.33,0.59,berawan
20.99,53.98,251.3,0.76,hujan
27.65,81.56,474.04,0.79,hujan
22.44,92.09,332.0,0.03,hujan
23.25,91.88,948.65,0.37,hujan
29.25,58.8,445.49,0.1,cerah
29.59,92.96,1129.78,0.27,cerah
21.51,66.38,1890.41,0.05,cerah
30.85,83.16,93.3,0.81,hujan
